表10-3-2(099年度)綜稅所得淨額二十分位申報統計分析表,製表日期：101年12月27日
分位別,納稅單位,所得淨額(千元),平均數(千元),中位數(千元),第一分位數(千元),第三分位數(千元),標準差,變異係數
第一分位,275967,0,0,0,0,0,0.00,0.00
第二分位,275967,0,0,0,0,0,0.00,0.00
第三分位,275967,0,0,0,0,0,0.00,0.00
第四分位,275967,0,0,0,0,0,0.00,0.00
第五分位,275967,0,0,0,0,0,0.00,0.00
第六分位,275967,0,0,0,0,0,0.00,0.00
第七分位,275967,0,0,0,0,0,0.00,0.00
第八分位,275967,415384,2,0,0,2,2.59,172.36
第九分位,275967,6583046,24,24,16,31,8.75,36.67
第十分位,275967,15447452,56,56,47,65,9.95,17.77
第十一分位,275967,25611397,93,93,83,102,11.32,12.19
第十二分位,275967,37330304,135,135,124,147,13.27,9.81
第十三分位,275967,51135777,185,185,172,199,15.69,8.47
第十四分位,275966,67562056,245,244,228,261,18.76,7.66
第十五分位,275966,87647741,318,317,297,338,23.46,7.39
第十六分位,275966,113211901,410,409,384,436,30.29,7.38
第十七分位,275966,147884531,536,533,497,573,44.31,8.27
第十八分位,275966,203106399,736,730,671,798,74.12,10.07
第十九分位,275966,304701968,1104,1084,971,1226,152.03,13.77
第二十分位,275966,940946614,3410,2119,1683,3071,16956.39,497.31
合計,5519333,2001584569,363,74,0,360,3866.45,1066.17
